Txn_id,Txn_date,Customer_id,Agent_id,Region,Txn_type,Amount (TZS),Sender_balance_before,Receiver_balance_before,Device_type,Hour_of_day,Is_fraud_flag,Unusual_hour_flag,High_amount_flag,Txn_datetime,Rapid_txn_flag,Fraud_risk_score,Risk_Category,Year_month
TXN0002,2025-07-27,CUST0045,AGT0093,Mbeya,BuyAirtime,"144,982 ","538,768 ",0 ,Feature Phone,17,0,0,0,7,1,70,High Risk,2025-07
TXN0003,2025-03-14,CUST0378,AGT0115,Mbeya,Receive,"298,589 ","371,016 ","196,731 ",USSD,18,0,0,1,10,1,120,High Risk,2025-03
TXN0004,2025-01-05,CUST0330,AGT0089,Dodoma,Deposit,"159,813 ","193,890 ",0 ,USSD,9,0,0,0,15,1,150,High Risk,2025-01
TXN0005,2025-03-04,CUST0069,AGT0172,Dodoma,Receive,"353,315 ","381,361 ","256,214 ",Web,14,0,0,1,6,1,80,High Risk,2025-03
TXN0006,2025-08-26,CUST0063,AGT0082,Dodoma,Send,"198,276 ","937,998 ",0 ,Feature Phone,22,0,0,0,4,1,40,Medium Risk,2025-08
TXN0007,2025-08-17,CUST0011,AGT0169,Mwanza,Receive,"311,520 ","31,263 ","54,037 ",Smartphone,10,0,0,1,5,1,70,High Risk,2025-08
TXN0008,2025-10-23,CUST0342,AGT0125,Arusha,PayBill,"382,100 ","692,283 ",0 ,Smartphone,13,0,0,1,1,0,30,Low Risk,2025-10
TXN0009,2025-04-11,CUST0386,AGT0060,Mbeya,BuyAirtime,"28,409 ","166,497 ",0 ,USSD,5,0,0,0,6,1,60,Medium Risk,2025-04
TXN0010,2025-02-06,CUST0077,AGT0041,Mbeya,BuyAirtime,"169,117 ","234,077 ",0 ,Feature Phone,23,0,0,0,10,1,100,High Risk,2025-02
TXN0011,2025-09-12,CUST0091,AGT0171,Arusha,Deposit,"253,760 ","297,368 ",0 ,Feature Phone,15,0,0,1,6,1,80,High Risk,2025-09
TXN0012,2025-08-24,CUST0056,AGT0156,Mwanza,Deposit,"292,267 ","139,521 ",0 ,Feature Phone,15,0,0,1,6,1,80,High Risk,2025-08
TXN0013,2025-12-16,CUST0210,AGT0082,Mwanza,PayBill,"408,748 ","700,726 ",0 ,Smartphone,23,0,0,1,1,0,30,Low Risk,2025-12
TXN0014,2025-12-17,CUST0453,AGT0130,Mbeya,BuyAirtime,"390,027 ","954,284 ",0 ,Smartphone,8,0,0,1,1,0,30,Low Risk,2025-12
TXN0015,2025-01-21,CUST0240,AGT0081,Dar,Withdraw,"233,594 ","535,233 ",0 ,Feature Phone,10,0,0,1,7,1,90,High Risk,2025-01
TXN0016,2025-02-10,CUST0139,AGT0085,Dodoma,PayBill,"190,086 ","687,963 ",0 ,Feature Phone,4,0,0,0,12,1,120,High Risk,2025-02
TXN0017,2025-08-18,CUST0247,AGT0075,Arusha,Send,"243,539 ","414,468 ",0 ,Feature Phone,6,0,0,1,8,1,100,High Risk,2025-08
TXN0018,2025-02-18,CUST0370,AGT0130,Dar,Send,"457,881 ","547,843 ",0 ,Smartphone,0,0,0,1,9,1,110,High Risk,2025-02
TXN0019,2025-06-13,CUST0389,AGT0034,Mwanza,Deposit,"210,071 ","504,657 ",0 ,USSD,20,0,0,1,12,1,140,High Risk,2025-06
TXN0020,2025-08-23,CUST0265,AGT0104,Arusha,PayBill,"24,885 ","453,562 ",0 ,Web,11,0,0,0,7,1,70,High Risk,2025-08
TXN0021,2025-10-12,CUST0171,AGT0134,Dodoma,Receive,"248,532 ","57,967 ","93,505 ",Smartphone,2,0,0,1,2,0,40,Medium Risk,2025-10
TXN0022,2025-07-27,CUST0078,AGT0043,Mwanza,BuyAirtime,"39,470 ","135,670 ",0 ,Web,5,0,0,0,4,1,40,Medium Risk,2025-07
TXN0023,2025-10-27,CUST0022,AGT0168,Arusha,Send,"155,764 ","161,660 ",0 ,Web,2,0,0,0,3,1,30,Low Risk,2025-10
TXN0024,2025-08-01,CUST0269,AGT0089,Dar,Receive,"256,564 ","82,147 ","176,801 ",USSD,20,0,0,1,6,1,80,High Risk,2025-08
TXN0025,2025-07-19,CUST0465,AGT0082,Dar,PayBill,"259,852 ","663,631 ",0 ,USSD,17,0,0,1,3,1,50,Medium Risk,2025-07
TXN0026,2025-11-05,CUST0390,AGT0174,Arusha,Receive,"235,872 ","824,789 ","88,491 ",Smartphone,20,0,0,1,2,0,40,Medium Risk,2025-11
TXN0027,2025-02-25,CUST0182,AGT0186,Dodoma,Send,"227,779 ","308,778 ",0 ,USSD,18,0,0,1,12,1,140,High Risk,2025-02
TXN0028,2025-01-15,CUST0175,AGT0070,Dodoma,Deposit,"384,900 ","804,496 ",0 ,Smartphone,0,0,0,1,8,1,100,High Risk,2025-01
TXN0029,2025-09-03,CUST0478,AGT0144,Arusha,BuyAirtime,"146,631 ","496,886 ",0 ,Smartphone,12,0,0,0,6,1,60,Medium Risk,2025-09
TXN0030,2025-06-14,CUST0282,AGT0162,Dodoma,PayBill,"480,620 ","777,209 ",0 ,Smartphone,11,0,0,1,9,1,110,High Risk,2025-06
TXN0031,2025-02-03,CUST0320,AGT0176,Mwanza,BuyAirtime,"424,197 ","988,589 ",0 ,Smartphone,15,0,0,1,11,1,130,High Risk,2025-02
TXN0032,2025-09-05,CUST0166,AGT0141,Dodoma,Withdraw,"195,770 ","6,677 ",0 ,USSD,9,0,0,0,5,1,50,Medium Risk,2025-09
TXN0033,2025-02-14,CUST0425,AGT0167,Dar,Withdraw,"359,178 ","183,163 ",0 ,USSD,15,0,0,1,15,1,170,High Risk,2025-02
TXN0034,2025-08-30,CUST0208,AGT0039,Dar,Deposit,"274,865 ","183,559 ",0 ,Smartphone,23,0,0,1,4,1,60,Medium Risk,2025-08
TXN0035,2025-11-03,CUST0197,AGT0121,Mbeya,Withdraw,"390,623 ","636,812 ",0 ,Feature Phone,8,1,0,1,2,0,90,High Risk,2025-11
